,date,indices,bandes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,/,/,/,PROD,PROD,NAR,ENHE,NAR,ENHE,LAND,ECOR,ENHE,PROD,ENHE,ALP,PROD,ALP,ENHE,BOMB,PROD,ENHE,NAR,NAR,NAR,NAR,NAR,NAR,ALP,ALP,ALP,QUE,ENHE,ENHE,ENHE,ENHE,ENHE,ECOR,ENHE,ENHE,ECOR,ENHE,ECOR,ECOR
2,/,/,/,PNRV,PNRV,PNRV,PNRV,PNRV,PNRV,PNRV,PNRV,PNRV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV,PNV
