,date,indices,bandes,1,2,3,4,5,6,7,8,9,10
1,/,/,/,NAR,ENHE,ENHE,NAR,ENHE,QUE,NIV,NAR,NIV,QUE
2,/,/,/,PNM,PNM,PNM,PNM,PNM,PNM,PNM,PNM,PNM,PNM
