,indices,bandes,1,2,3,4,5,6,7,8
1,/,/,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI
2,/,/,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV,PNRMV
3,ND,ND_B2_B3,-0.17899235894170296,-0.1322072533663892,-0.11372412343742029,-0.08651084879080269,-0.10975458536670585,-0.1406892483039429,,
4,SR,SR_B2_B3,0.7009375820890735,0.7681904809129091,0.7970321986362792,0.8417900966944036,0.802972894752101,0.7562158255461732,,
5,ND,ND_B2_B4,-0.27499576663177927,-0.24742145371503485,-0.20250690088502468,-0.16244545680564537,-0.22464543472581938,-0.2372507217203866,,
6,SR,SR_B2_B4,0.5718329998895729,0.605849603435272,0.665804791327088,0.7215539868171171,0.6336935805492467,0.6186928925991924,,
7,ND,ND_B2_B5,-0.4633236750126567,-0.3722195545061079,-0.3275338351025726,-0.2444582467765771,-0.339419914693381,-0.3969055793924691,,
8,SR,SR_B2_B5,0.37047746435490164,0.46237689956793665,0.5118443194396178,0.6101514395725279,0.49499162313087103,0.4346710861924496,,
9,ND,ND_B2_B6,-0.632108356104315,-0.5010468649121861,-0.468580546418257,-0.3434313165584242,-0.46467446893031455,-0.5622399000511976,,
10,SR,SR_B2_B6,0.22789559631461867,0.33611625651516336,0.36597010218576725,0.4916599317276631,0.3666478135169163,0.2821745893627595,,
11,ND,ND_B2_B7,-0.6675545471359122,-0.5408018407906964,-0.5023459724623154,-0.37403948441506707,-0.5020279756352444,-0.600480027086326,,
12,SR,SR_B2_B7,0.20144766628019392,0.30128973153286115,0.3350783772400249,0.4583141569834919,0.3325614518905022,0.25134601039676385,,
13,ND,ND_B2_B8,-0.6851229894270827,-0.5647706550152686,-0.5183928020830815,-0.392388396178288,-0.5273865045043674,-0.6199021512329391,,
14,SR,SR_B2_B8,0.18839606073486567,0.280888986649557,0.32138577072036545,0.438486607711257,0.31010599275912837,0.23568494328232956,,
15,ND,ND_B2_B8A,-0.7066669425885296,-0.5888080174455287,-0.5394264047724976,-0.4159269633262754,-0.5493452799188525,-0.6392045519112619,,
16,SR,SR_B2_B8A,0.17341219306572095,0.2614188940042307,0.30294826440246075,0.4148510658201328,0.2917195009611273,0.2214472901208271,,
17,ND,ND_B2_B11,-0.6987250553743751,-0.6311739603381548,-0.5579358095210241,-0.4797048982472994,-0.5985170958743673,-0.6262654680259084,,
18,SR,SR_B2_B11,0.17851429681623063,0.22792819892700453,0.28776195266992416,0.35315395816945955,0.2518904279404729,0.23083630645641168,,
19,ND,ND_B2_B12,-0.5648475670218126,-0.49769186624592354,-0.44277348091233437,-0.38272160399060917,-0.45475755038922755,-0.46380073573265496,,
20,SR,SR_B2_B12,0.2807764141929916,0.3386839048573417,0.39169558010603844,0.4487166911283513,0.3762534938207989,0.36868908423213137,,
21,SR,SR_B3_B2,1.4471158892538445,1.308401630815716,1.2591069147447822,1.1911865523509364,1.2480350935953315,1.3344597160938085,,
22,ND,ND_B3_B4,-0.10108869355680626,-0.11951326532990608,-0.09114191704911367,-0.07707000679896035,-0.117814672240113,-0.10000896823034924,,
23,SR,SR_B3_B4,0.81989327484411,0.7873911629274646,0.8346056214053404,0.8574873063558285,0.7898161044841587,0.8196816066392337,,
