indices,bandes,13,14,15,16,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539
/,/,LUBCRE01,LUBCRE02,LUBCRE03,LUBCRE04,LUBCRE_T46,LUBCRE_T47,LUBCRE_T45,LUBCRE_T49,LUBCRE_T43,LUBCRE_T42,LUBCRE_T44,LUBCRE_T59,LUBCRE_T41,LUBBOU_T22,LUBCRE_T60,LUBCRE_T61,VENTUN_T5,VENTUN_T4,VENTUN_T3,VENTUN_T2,VENTUN_T1,VENTUN_T6,VENTUN_T7,VENTUN_T8,VENTUN_T9,VENTUN_T10,VENTUN_T11,VENTUN_T12,VENVEN_T6,VENVEN_T3,VENVEN_T4,VENVEN_T5,VENVEN_T7,VENVEN_T2,VENVEN_T1,VENVEN_T8,VENVEN_T9,VENVEN_T12,VENVEN_T11,VENVEN_T10,LUBBOU_T3,LUBBOU_T2,LUBBOU_T1,LUBBOU_T9,LUBBOU_T7,LUBBOU_T6,LUBBOU_T5,LUBBOU_T4,LUBBOU_T8,LUBBOU_T19,LUBBOU_T20,LUBBOU_T14,LUBBOU_T13,LUBBOU_T12,LUBBOU_T11,LUBBOU_T10,LUBBOU_T16,LUBBOU_T21,LUBBOU_T18,LUBBOU_T17,LUBBOU_T15,LUBCRE_T8,LUBCRE_T9,LUBCRE_T7,LUBCRE_T5,LUBCRE_T4,LUBCRE_T2,LUBCRE_T1,LUBCRE_T6,LUBCRE_T3,LUBCRE_T11,LUBCRE_T10,LUBCRE_T12,LUBCRE_26,LUBCRE_27,LUBCRE_25,LUBCRE_T22,LUBCRE_T21,LUBCRE_T20,LUBCRE_T28,LUBCRE_T19,LUBCRE_T17,LUBCRE_T23,LUBCRE_T16,LUBCRE_T18,LUBCRE_T15,LUBCRE_T14,LUBCRE_T13,LUBCRE_T24,LUBCRE_T31,LUBCRE_T32,LUBCRE_T30,LUBCRE_T29,LUBCRE_T37,LUBCRE_T34,LUBCRE_T35,LUBCRE_T40,LUBCRE_T33,LUBCRE_T39,LUBCRE_T38,LUBCRE_T36,LUBCRE_T50,LUBCRE_T55,LUBCRE_T54,LUBCRE_T53,LUBCRE_T52,LUBCRE_T56,LUBCRE_T57,LUBCRE_T51,LUBCRE_T58,LUBCRE_T48
/,/,biomase,biomase,biomase,biomase,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe,tfe
/,/,NA,NA,NA,NA,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI,MEDI,MEDI,MEDI,SUB,SUB,SUB,SUB,SUB,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,BOIS,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,BOIS,MEDI,ECOR,ECOR,ECOR,MEDI,MEDI,MEDI,PROD,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,PROD,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,PROD,MEDI,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,MEDI,PROD,MEDI,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI,MEDI,MEDI,LAND,MEDI,MEDI
ND,ND_B2_B3,-0.13671061762664818,-0.09927089175546834,-0.2283464566929134,-0.07055016181229769,-0.1926605504587156,-0.13553431798436144,-0.1061827956989247,-0.13518352730528196,-0.0950846091861402,-0.2316076294277929,-0.16977225672877852,-0.14423076923076925,-0.1348148148148148,-0.1074074074074074,-0.06771915247195683,-0.10736842105263159,,,,,,-0.0921409214092141,-0.09707602339181282,-0.1779744346116028,-0.14642857142857144,-0.14528875379939213,-0.16083916083916086,-0.1708542713567839,-0.17118402282453643,,,,-0.15501839201261167,-0.11883691529709227,-0.1406528189910979,,,,,,-0.08915476649942111,-0.07421383647798745,-0.159235668789809,-0.19518072289156624,-0.16970926301555098,-0.09041689225771517,-0.1254054054054054,-0.1361161524500907,-0.07830551989730425,-0.09624060150375943,-0.1099195710455764,-0.10042432814710035,-0.09629074559760215,-0.0766045548654244,-0.09555345316934719,-0.06171428571428566,-0.1387163561076605,-0.16322701688555347,-0.106280193236715,-0.1098039215686274,-0.05191489361702129,-0.1029517638588913,-0.16302521008403362,-0.1710407239819004,-0.11262488646684833,-0.10666666666666666,-0.24,-0.09775641025641027,-0.11638250555967386,-0.1009771986970684,-0.12091503267973852,-0.12942877801879976,-0.15231788079470193,-0.0843905129619415,-0.08698884758364309,-0.15476190476190474,-0.11150758251561109,-0.0992287917737789,-0.09674728940783991,-0.14015477214101457,-0.1701388888888889,-0.19508448540706602,-0.12154407929055819,-0.10267471958584988,-0.14843287995269078,-0.09299191374663077,-0.06928406466512699,-0.1253968253968254,-0.16889428918590518,-0.1649315068493151,-0.1431767337807606,-0.14689265536723167,-0.11095890410958907,-0.14251352976548406,-0.1514657980456026,-0.11243386243386234,-0.11269276393831548,-0.13387241689128485,-0.19790575916230366,-0.12260127931769726,-0.09994538503549971,-0.1557223264540338,-0.12499999999999999,-0.1771561771561772,-0.1339563862928349,-0.09902597402597399,-0.11433305716652864,-0.1403678606001936,-0.12877263581488935,-0.14018691588785043,-0.17723577235772364
SR,SR_B2_B3,0.7594627594627594,0.8193877551020408,0.6282051282051282,0.8681983071342202,0.676923076923077,0.7612853863810253,0.8080194410692588,0.7618296529968455,0.8263428991905813,0.6238938053097345,0.7097345132743362,0.7478991596638656,0.762402088772846,0.8060200668896321,0.8731517509727625,0.8060836501901141,,,,,,0.8312655086848635,0.8230277185501067,0.697829716193656,0.7445482866043613,0.7462845010615711,0.7228915662650602,0.7081545064377682,0.707673568818514,,,,0.7315741583257507,0.7875706214689265,0.753381893860562,,,,,,0.8362863217576186,0.8618266978922716,0.7252747252747251,0.6733870967741936,0.7098265895953758,0.8341608738828203,0.777137367915466,0.7603833865814698,0.8547619047619047,0.8244170096021948,0.8019323671497585,0.8174807197943446,0.8243335611756664,0.8576923076923078,0.8255613126079447,0.8837459634015071,0.7563636363636362,0.7193548387096774,0.8078602620087336,0.8021201413427562,0.901294498381877,0.8133159268929504,0.7196531791907514,0.7078825347758888,0.7975510204081633,0.8072289156626506,0.6129032258064516,0.8218978102189781,0.7915006640106241,0.8165680473372782,0.7842565597667639,0.7708066581306017,0.7356321839080461,0.844354018311292,0.8399452804377565,0.731958762886598,0.7993579454253611,0.8194574368568756,0.823574144486692,0.7541478129713425,0.7091988130563799,0.673521850899743,0.7832558139534883,0.8137715179968701,0.7415036045314108,0.8298397040690505,0.8704103671706264,0.7771509167842031,0.7110187110187111,0.7168391345249294,0.7495107632093934,0.7438423645320197,0.8002466091245376,0.7505263157894737,0.7369165487977369,0.7978596908442331,0.7974413646055438,0.7638668779714738,0.6695804195804196,0.7815764482431149,0.8182720953326713,0.7305194805194805,0.7777777777777778,0.699009900990099,0.7637362637362637,0.8197932053175776,0.7947955390334571,0.7538200339558574,0.7718360071301248,0.7540983606557378,0.6988950276243093
ND,ND_B2_B4,-0.26040428061831156,-0.1780962128966223,-0.07547169811320757,-0.15280235988200586,-0.24355300859598855,-0.1949838187702265,-0.2073897497020262,-0.240566037735849,-0.19033886085075705,-0.3532110091743119,-0.24268177525967896,-0.24576271186440676,-0.26999999999999996,-0.18718381112984822,-0.14579368100494863,-0.20524835988753512,,,,,,-0.1666666666666666,-0.24792985874330245,-0.26986899563318784,-0.2672457843638222,-0.25292242295430395,-0.10891089108910894,-0.22169811320754715,-0.3058542413381123,,,,-0.2548656163113994,-0.21641371557054528,-0.24504692387904065,,,,,,-0.15864527629233519,-0.14018691588785048,-0.17573595004460305,-0.2938689217758986,-0.21882951653944016,-0.20152091254752852,-0.17533129459734967,-0.19413092550790065,-0.14114832535885163,-0.17840054682159945,-0.21233689205219453,-0.24195470798569724,-0.17566643882433353,-0.16713352007469653,-0.17550668391548083,-0.19745845552297162,-0.2035737077217613,-0.2783171521035599,-0.24720244150559514,-0.2212692967409948,-0.1286664059444662,-0.27346938775510204,-0.22850503485670023,-0.2504091653027823,-0.19289549772821152,-0.193984962406015,-0.2997542997542998,-0.18523878437047755,-0.18579234972677597,-0.16363636363636358,-0.22198120028922635,-0.21868916288124596,-0.3342002600780234,-0.1530612244897959,-0.20620555914673555,-0.2670967741935483,-0.2006420545746389,-0.1751412429378531,-0.16531791907514454,-0.18699186991869912,-0.28120300751879695,-0.2546230440967283,-0.20227380388441504,-0.16932907348242815,-0.20133111480865226,-0.20166073546856467,-0.14978902953586495,-0.20662347012239018,-0.29411764705882354,-0.2766967252017086,-0.26558005752636626,-0.23350253807106605,-0.19528828270303783,-0.2345679012345679,-0.18210361067503927,-0.21336459554513473,-0.19178822258238787,-0.2117743254292723,-0.2861136999068034,-0.22468205369759778,-0.22080378250591012,-0.25803792250618307,-0.21515151515151515,-0.19681456200227535,-0.23133640552995388,-0.22540125610607117,-0.1693861693861694,-0.20996441281138792,-0.19216417910447764,-0.2110817941952507,-0.27351040918880115
SR,SR_B2_B4,0.5867924528301887,0.6976542137271937,0.8596491228070174,0.7349027635619243,0.6082949308755761,0.6736628300609344,0.6564659427443238,0.6121673003802282,0.6801938219261053,0.47796610169491527,0.6094224924012158,0.6054421768707483,0.5748031496062992,0.6846590909090909,0.7455149501661129,0.6594090202177294,,,,,,0.7142857142857144,0.6026541764246683,0.5749656121045391,0.5782258064516129,0.5962680237489397,0.8035714285714285,0.6370656370656371,0.5315645013723697,,,,0.5937961595273265,0.644177449168207,0.6063651591289783,,,,,,0.726153846153846,0.7540983606557377,0.701062215477997,0.545751633986928,0.640918580375783,0.6645569620253164,0.7016478751084129,0.6748582230623819,0.7526205450733753,0.697215777262181,0.649706457925636,0.6103646833013436,0.7011627906976745,0.7136,0.7013939838591343,0.6702040816326531,0.6617179215270413,0.5645569620253165,0.6035889070146818,0.6376404494382023,0.7720027720027719,0.5705128205128205,0.6279949558638083,0.599476439790576,0.6765927977839334,0.6750629722921915,0.5387523629489603,0.6874236874236874,0.6866359447004609,0.7187500000000001,0.6366863905325444,0.6411075612353567,0.4990253411306043,0.7345132743362832,0.6580921757770634,0.5784114052953158,0.6657754010695186,0.701923076923077,0.7162698412698412,0.6849315068493151,0.5610328638497653,0.5941043083900227,0.6635145784081954,0.7103825136612021,0.6648199445983379,0.6643632773938796,0.7394495412844038,0.6575178997613366,0.5454545454545454,0.566542750929368,0.5803030303030303,0.6213991769547325,0.6732365145228216,0.62,0.6918990703851261,0.6483091787439614,0.6781504986400726,0.650472334682861,0.5550724637681159,0.6330769230769231,0.6382649109217661,0.5897771952817824,0.6458852867830425,0.6711026615969581,0.624251497005988,0.6321184510250569,0.7102990033222591,0.6529411764705882,0.6776212832550861,0.6514161220043573,0.5704622322435174
ND,ND_B2_B5,-0.3853754940711462,-0.3044608055435254,-0.5140495867768595,-0.299170326988775,-0.25423728813559326,-0.2513167795334838,-0.3115942028985507,-0.41276595744680844,-0.31293973692260635,-0.7686628383921247,-0.2883762200532387,-0.28167877320419693,-0.3910323253388946,-0.21905379131561892,-0.22272254935919641,-0.27147766323024053,,,,,,-0.4669848846459825,-0.19958527734577497,-0.3793615441722346,-0.3677248677248677,-0.33959605448567404,-0.4965034965034966,-0.39058171745152354,-0.41958041958041964,,,,-0.3656804733727811,-0.3320555821753714,-0.34211721944570644,,,,,,-0.182825484764543,-0.3815126050420168,-0.13644859813084115,-0.4533551554828151,-0.32378854625550657,-0.36699321778447624,-0.2757385854968666,-0.26956521739130435,-0.2703252032520325,-0.26796589524969544,-0.32244897959183666,-0.45266781411359724,-0.24365004703668863,-0.29262490087232357,-0.22903225806451613,-0.21883920076117977,-0.32357723577235775,-0.3753501400560224,-0.37021276595744684,-0.30634071810542396,-0.21299894030377955,-0.3503649635036497,-0.4092526690391459,-0.3405327573794097,-0.2945848375451264,-0.3145780051150895,-0.5047784535186794,-0.18759018759018756,-0.3314638250140213,-0.27775700934579434,-0.36066547831253715,-0.36363636363636365,-0.5160680529300568,-0.24166285975331198,-0.3509513742071881,-0.3795740032768979,-0.37943925233644865,-0.25731242051716824,-0.24660869565217394,-0.356084996780425,-0.30724637681159417,-0.4419595314164004,-0.3390894819466248,-0.18238993710691828,-0.2708860759493671,-0.28480340063761955,-0.22796934865900384,-0.3494687131050767,-0.4622641509433962,-0.41497120921305175,-0.4057408844065166,-0.4120700843608047,-0.32431025507548156,-0.2765093860984272,-0.42810098792535667,-0.3398917855386128,-0.23556463975472658,-0.3840255591054313,-0.4806779661016949,-0.25385312783318226,-0.2939160239931448,-0.34114202049780384,-0.30841121495327095,-0.4735272184936615,-0.3484375,-0.3516355140186916,-0.2948548812664908,-0.5066666666666667,-0.3783201722900215,-0.4188532555879495,-0.42171428571428576
SR,SR_B2_B5,0.4436519258202568,0.5332005312084993,0.3209606986899563,0.5394440270473329,0.5945945945945945,0.598316295850872,0.5248618784530387,0.41566265060240964,0.5232991612301957,0.1307977736549165,0.5523415977961432,0.5604534005037783,0.43778110944527737,0.6406166932482722,0.6356940509915014,0.572972972972973,,,,,,0.3633405639913232,0.6672428694900605,0.44994617868675996,0.46228239845261127,0.49298737727910236,0.3364485981308411,0.43824701195219123,0.4088669950738916,,,,0.4644714038128249,0.5014388489208632,0.49018280297901157,,,,,,0.6908665105386416,0.44768856447688565,0.7598684210526315,0.37612612612612606,0.5108153078202995,0.4630650496141125,0.5677192982456141,0.5753424657534247,0.5744,0.5773294908741595,0.5123456790123457,0.3767772511848341,0.6081694402420574,0.5472392638036809,0.6272965879265092,0.6409055425448869,0.5110565110565111,0.4541751527494909,0.45962732919254656,0.5309941520467836,0.6488060570762959,0.48108108108108105,0.41919191919191917,0.49194414607948445,0.5448968209704406,0.5214007782101168,0.32909930715935337,0.68408262454435,0.5021061499578771,0.5652428320655355,0.46986899563318774,0.4666666666666666,0.3192019950124689,0.6107431935246506,0.4804381846635368,0.44972288202692007,0.4498644986449864,0.5906945380984491,0.6043526785714285,0.4748338081671415,0.5299334811529933,0.3870014771048745,0.4935521688159437,0.6914893617021276,0.5737051792828685,0.5566583953680728,0.6287051482059283,0.4820647419072616,0.36774193548387096,0.4134563212154097,0.4227373068432671,0.4163602941176471,0.5102201257861635,0.5667726550079492,0.40046118370484246,0.49265785609397955,0.6186931348221671,0.4450600184672207,0.3507326007326007,0.5950831525668836,0.5456953642384106,0.4912663755458515,0.5285714285714286,0.3572874493927125,0.4831981460023175,0.47968885047536736,0.5445746306673459,0.3274336283185841,0.4510416666666666,0.40958904109589045,0.4067524115755627
