,date,indices,bandes,1,2,3,4,5,6,7
1,/,/,/,SUB,SUB,MEDI,BOIS,MEDI,BOIS,NAR
2,/,/,/,PNRV,PNRV,PNRV,PNRV,PNRV,PNRV,PNRV
